match_id,home_team,away_team,home_goals,away_goals
9715,Sevilla,Real Betis,3,5
20782,Sevilla,Real Betis,1,0
27456,Sevilla,Real Betis,3,2
203683,Sevilla,Real Betis,2,0
214300,Sevilla,Real Betis,2,0
605334,Sevilla,Real Betis,1,0
720996,Sevilla,Real Betis,2,1
878288,Sevilla,Real Betis,0,0
1030650,Sevilla,Real Betis,1,0
1038076,Sevilla,Real Betis,1,1
9522,Real Betis,Sevilla,2,2
20593,Real Betis,Sevilla,1,2
27161,Real Betis,Sevilla,1,0
214146,Real Betis,Sevilla,1,2
605227,Real Betis,Sevilla,1,1
720861,Real Betis,Sevilla,0,2
824059,Real Betis,Sevilla,2,1
878063,Real Betis,Sevilla,1,1
1038274,Real Betis,Sevilla,1,1
